Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active
Texas,US,2020-05-12 3:32,28.65696592,-97.42760647,7,0,0,7
Florida,US,2020-05-12 3:32,28.70181754,-82.0794267,244,14,0,230
Florida,US,2020-05-12 3:32,28.7158582,-81.24060348,415,11,0,404
Texas,US,2020-05-12 3:32,28.7429195,-100.3157686,31,0,0,31
Florida,US,2020-05-12 3:32,28.76202069,-81.7125123,243,14,0,229
Texas,US,2020-05-12 3:32,28.79780988,-96.96813006,150,5,0,145
Texas,US,2020-05-12 3:32,28.81955746,-96.01230294,64,3,0,61
Florida,US,2020-05-12 3:32,28.84804315,-82.47614748,106,11,0,95
Texas,US,2020-05-12 3:32,28.86617238,-99.76050829,2,0,0,2
Texas,US,2020-05-12 3:32,28.86751206,-99.10804207,34,0,0,34
Texas,US,2020-05-12 3:32,28.89333001,-98.52730485,24,1,0,23
Texas,US,2020-05-12 3:32,28.90705334,-97.85960149,3,0,0,3
Texas,US,2020-05-12 3:32,28.95472367,-96.57749563,14,0,0,14
Florida,US,2020-05-12 3:32,29.05858895,-81.18263252,551,29,0,522
Texas,US,2020-05-12 3:32,29.08101855,-97.3568117,15,1,0,14
Texas,US,2020-05-12 3:32,29.1732598,-98.08693082,36,4,0,32
Zhejiang,China,2020-05-12 3:32,29.1832,120.0934,1268,1,1267,0
Texas,US,2020-05-12 3:32,29.18757369,-95.44563172,661,9,0,652
Florida,US,2020-05-12 3:32,29.21227113,-82.05803627,211,5,0,206
Texas,US,2020-05-12 3:32,29.27765923,-96.22319248,41,0,0,41
,Kuwait,2020-05-12 3:32,29.31166,47.481766,9286,65,2907,6314
Florida,US,2020-05-12 3:32,29.31829741,-82.74007147,20,0,0,20
Texas,US,2020-05-12 3:32,29.3557301,-99.11030298,32,2,0,30
Texas,US,2020-05-12 3:32,29.35739637,-99.76229172,6,0,0,6
Louisiana,US,2020-05-12 3:32,29.37343766,-90.82626855,528,39,0,489
Texas,US,2020-05-12 3:32,29.38508402,-96.93186692,6,1,0,5
Texas,US,2020-05-12 3:32,29.40167322,-94.90469073,685,29,0,656
Louisiana,US,2020-05-12 3:32,29.42245447,-89.60322085,190,17,0,173
Texas,US,2020-05-12 3:32,29.44928723,-98.52019748,1901,56,0,1845
Texas,US,2020-05-12 3:32,29.45634206,-97.49424032,59,2,0,57
Florida,US,2020-05-12 3:32,29.45933576,-81.31508595,147,4,0,143
Louisiana,US,2020-05-12 3:32,29.52470226,-90.40976986,713,59,0,654
Texas,US,2020-05-12 3:32,29.52704478,-95.77219463,1385,38,0,1347
Texas,US,2020-05-12 3:32,29.58165339,-97.94786822,97,0,0,97
Florida,US,2020-05-12 3:32,29.60631086,-83.15724673,13,0,0,13
Florida,US,2020-05-12 3:32,29.60779729,-81.74230285,127,2,0,125
Texas,US,2020-05-12 3:32,29.622098,-96.5273805,16,0,0,16
Florida,US,2020-05-12 3:32,29.67866525,-82.35928158,320,5,0,315
Louisiana,US,2020-05-12 3:32,29.69262097,-91.44702164,250,26,0,224
Texas,US,2020-05-12 3:32,29.70972016,-94.67154501,50,0,0,50
Florida,US,2020-05-12 3:32,29.72856978,-82.79880657,6,0,0,6
Louisiana,US,2020-05-12 3:32,29.74075478,-90.11115756,6755,402,0,6353
Texas,US,2020-05-12 3:32,29.74619598,-99.24598147,6,0,0,6
Texas,US,2020-05-12 3:32,29.80811278,-98.27647225,65,6,0,59
Texas,US,2020-05-12 3:32,29.81008251,-103.2520326,1,0,0,1
Louisiana,US,2020-05-12 3:32,29.83517605,-92.30292538,41,2,0,39
Texas,US,2020-05-12 3:32,29.83668859,-97.61814775,30,0,0,30
Florida,US,2020-05-12 3:32,29.83791238,-84.82731662,2,0,0,2
Texas,US,2020-05-12 3:32,29.86,-95.39,8176,179,0,7997
Louisiana,US,2020-05-12 3:32,29.86803617,-91.75871777,286,26,0,260
Louisiana,US,2020-05-12 3:32,29.87592238,-93.19310676,3,0,0,3
Louisiana,US,2020-05-12 3:32,29.87761636,-89.51887093,514,20,0,494
Texas,US,2020-05-12 3:32,29.87788372,-96.92076062,25,1,0,24
Texas,US,2020-05-12 3:32,29.8832777,-94.16434171,381,25,0,356
Texas,US,2020-05-12 3:32,29.88548725,-96.27736949,15,0,0,15
Texas,US,2020-05-12 3:32,29.89149232,-101.1525205,13,0,0,13
Louisiana,US,2020-05-12 3:32,29.89946234,-91.06461642,228,11,0,217
Florida,US,2020-05-12 3:32,29.90096506,-81.43589967,222,4,0,218
Louisiana,US,2020-05-12 3:32,29.90709658,-90.35555967,595,43,0,552
Florida,US,2020-05-12 3:32,29.93543004,-85.2427099,1,0,0,1
Texas,US,2020-05-12 3:32,29.94414155,-98.7113588,19,0,0,19
Florida,US,2020-05-12 3:32,29.95079741,-82.16611613,48,2,0,46
Florida,US,2020-05-12 3:32,29.98319144,-81.85609986,302,21,0,281
Florida,US,2020-05-12 3:32,29.98484137,-83.18166636,3,0,0,3
Texas,US,2020-05-12 3:32,30.01058447,-95.99011759,39,0,0,39
Louisiana,US,2020-05-12 3:32,30.02531716,-90.80212061,256,20,0,236
Florida,US,2020-05-12 3:32,30.04412971,-82.37497443,7,0,0,7
Florida,US,2020-05-12 3:32,30.04848048,-83.60445406,3,0,0,3
Texas,US,2020-05-12 3:32,30.05669873,-98.02944344,203,2,0,201
Chongqing,China,2020-05-12 3:32,30.0572,107.874,579,6,573,0
Texas,US,2020-05-12 3:32,30.06040006,-99.34930144,9,0,0,9
Louisiana,US,2020-05-12 3:32,30.06971951,-89.92660315,6693,470,0,6223
Texas,US,2020-05-12 3:32,30.10370699,-97.31206354,110,2,0,108
Texas,US,2020-05-12 3:32,30.11879481,-93.89412775,85,2,0,83
Louisiana,US,2020-05-12 3:32,30.12597499,-90.4753503,801,77,0,724
Louisiana,US,2020-05-12 3:32,30.13112107,-91.61403569,260,21,0,239
Texas,US,2020-05-12 3:32,30.15152688,-94.81205615,66,1,0,65
Florida,US,2020-05-12 3:32,30.16548905,-84.39895211,29,1,0,28
Florida,US,2020-05-12 3:32,30.19746066,-82.9909967,146,18,0,128
Louisiana,US,2020-05-12 3:32,30.20406249,-90.9132841,695,48,0,647
Louisiana,US,2020-05-12 3:32,30.2049055,-92.06959876,508,22,0,486
Texas,US,2020-05-12 3:32,30.21498498,-96.40946246,164,18,0,146
Florida,US,2020-05-12 3:32,30.22509788,-82.62160164,103,2,0,101
Louisiana,US,2020-05-12 3:32,30.22931235,-93.35400434,496,37,0,459
Florida,US,2020-05-12 3:32,30.23766008,-84.8829258,198,0,0,198
Louisiana,US,2020-05-12 3:32,30.25734305,-91.3499598,501,36,0,465
Florida,US,2020-05-12 3:32,30.26548745,-85.62122584,76,3,0,73
Texas,US,2020-05-12 3:32,30.26640707,-98.3999852,6,0,0,6
Louisiana,US,2020-05-12 3:32,30.26896765,-92.81210004,68,6,0,62
Louisiana,US,2020-05-12 3:32,30.2950649,-92.41419698,152,11,0,141
Texas,US,2020-05-12 3:32,30.30079133,-95.50572772,724,17,0,707
Texas,US,2020-05-12 3:32,30.31120597,-96.97045773,5,0,0,5
Texas,US,2020-05-12 3:32,30.31824095,-98.94676915,4,0,0,4
Florida,US,2020-05-12 3:32,30.33060121,-82.28467476,25,3,0,22
Florida,US,2020-05-12 3:32,30.33225875,-81.66976468,1171,29,0,1142
Texas,US,2020-05-12 3:32,30.33364686,-94.38931817,115,3,0,112
Texas,US,2020-05-12 3:32,30.33432034,-97.7853562,2171,65,0,2106
,Pakistan,2020-05-12 3:32,30.3753,69.3451,32081,706,8555,22820
Florida,US,2020-05-12 3:32,30.40666734,-85.19394153,27,0,0,27
Louisiana,US,2020-05-12 3:32,30.40942847,-89.95642711,1463,136,0,1327
Mississippi,US,2020-05-12 3:32,30.41830223,-89.48851033,74,10,0,64
Florida,US,2020-05-12 3:32,30.43669112,-83.89442308,28,2,0,26
Louisiana,US,2020-05-12 3:32,30.44143993,-90.73061664,281,24,0,257
Florida,US,2020-05-12 3:32,30.44396917,-83.47398594,61,3,0,58
Florida,US,2020-05-12 3:32,30.45955727,-84.27491114,254,6,0,248
Louisiana,US,2020-05-12 3:32,30.46058217,-91.30989571,123,29,0,94
Texas,US,2020-05-12 3:32,30.48678918,-99.74856473,1,0,0,1
Texas,US,2020-05-12 3:32,30.49273808,-96.62158484,15,0,0,15
Florida,US,2020-05-12 3:32,30.49673973,-82.94998918,19,0,0,19
Mississippi,US,2020-05-12 3:32,30.51359752,-89.12467576,198,6,0,192
Louisiana,US,2020-05-12 3:32,30.53842039,-91.09777565,2398,188,0,2210
Mississippi,US,2020-05-12 3:32,30.54020656,-88.64184064,276,11,0,265
Texas,US,2020-05-12 3:32,30.54579585,-95.98902499,42,1,0,41
Florida,US,2020-05-12 3:32,30.57796289,-84.61915825,130,0,0,130
Texas,US,2020-05-12 3:32,30.57933681,-95.16260304,11,0,0,11
Louisiana,US,2020-05-12 3:32,30.59724262,-92.00135806,214,50,0,164
Florida,US,2020-05-12 3:32,30.61037141,-81.80297522,61,1,0,60
Florida,US,2020-05-12 3:32,30.61359259,-85.66002461,12,0,0,12
Sichuan,China,2020-05-12 3:32,30.6171,102.7103,561,3,558,0
Louisiana,US,2020-05-12 3:32,30.62888673,-90.40664996,670,28,0,642
Florida,US,2020-05-12 3:32,30.64204028,-86.16935664,65,2,0,63
Texas,US,2020-05-12 3:32,30.64655664,-97.6004854,380,14,0,366
Louisiana,US,2020-05-12 3:32,30.64836518,-93.34173616,46,4,0,42
Louisiana,US,2020-05-12 3:32,30.65385745,-92.82442028,90,9,0,81
Texas,US,2020-05-12 3:32,30.6636448,-96.30205577,271,18,0,253
Florida,US,2020-05-12 3:32,30.67652764,-87.37284571,641,18,0,623
Florida,US,2020-05-12 3:32,30.69143028,-86.59267105,169,5,0,164
Florida,US,2020-05-12 3:32,30.6934145,-87.02458128,176,9,0,167
Texas,US,2020-05-12 3:32,30.70645047,-98.68475262,3,0,0,3
Georgia,US,2020-05-12 3:32,30.71101099,-82.89687287,7,0,0,7
